season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1908,Silver,USA,United States,"George V. BONHAG, John Lincoln EISELE, Herbert Lawrence TRUBE",1908 London,Athletics,Men's,3miles team (4828m)
Summer,1908,Gold,USA,United States,Forrest SMITHSON,1908 London,Athletics,Men's,110m hurdles
Summer,1908,Silver,USA,United States,John Carlyle GARRELS,1908 London,Athletics,Men's,110m hurdles
Summer,1908,Bronze,USA,United States,Arthur SHAW,1908 London,Athletics,Men's,110m hurdles
Summer,1908,Gold,USA,United States,Charles Joseph BACON,1908 London,Athletics,Men's,400m hurdles
Summer,1908,Silver,USA,United States,Harry HILLMAN,1908 London,Athletics,Men's,400m hurdles
Summer,1908,Bronze,USA,United States,John Lincoln EISELE,1908 London,Athletics,Men's,3200m steeplechase
Summer,1908,Gold,USA,United States,Francis C. IRONS,1908 London,Athletics,Men's,long jump
Summer,1908,Silver,USA,United States,Daniel KELLY,1908 London,Athletics,Men's,long jump
Summer,1908,Gold,USA,United States,Ray EWRY,1908 London,Athletics,Men's,long jump
Summer,1908,Bronze,USA,United States,Martin SHERIDAN,1908 London,Athletics,Men's,long jump
Summer,1908,Gold,USA,United States,Harry Franklin PORTER,1908 London,Athletics,Men's,high jump
Summer,1908,Gold,USA,United States,Ray EWRY,1908 London,Athletics,Men's,high jump
Summer,1908,Silver,USA,United States,John BILLER,1908 London,Athletics,Men's,high jump
Summer,1908,Gold,USA,United States,Alfred Carleten GILBERT,1908 London,Athletics,Men's,pole vault
Summer,1908,Gold,USA,United States,Edward Tiffin COOKE,1908 London,Athletics,Men's,pole vault
Summer,1908,Bronze,USA,United States,Charles Sherman JACOBS,1908 London,Athletics,Men's,pole vault
Summer,1908,Gold,USA,United States,Martin SHERIDAN,1908 London,Athletics,Men's,discus throw
Summer,1908,Silver,USA,United States,Merritt Hayward GIFFIN,1908 London,Athletics,Men's,discus throw
Summer,1908,Bronze,USA,United States,Marquis Franklin HORR,1908 London,Athletics,Men's,discus throw
Summer,1908,Gold,USA,United States,Martin SHERIDAN,1908 London,Athletics,Men's,discus throw ancient style
Summer,1908,Silver,USA,United States,Marquis Franklin HORR,1908 London,Athletics,Men's,discus throw ancient style
Summer,1908,Gold,USA,United States,John Jesus FLANAGAN,1908 London,Athletics,Men's,hammer throw
Summer,1908,Silver,USA,United States,Matthew J. MCGRATH,1908 London,Athletics,Men's,hammer throw
Summer,1908,Gold,USA,United States,Ralph ROSE,1908 London,Athletics,Men's,shot put
Summer,1908,Bronze,USA,United States,John Carlyle GARRELS,1908 London,Athletics,Men's,shot put
Summer,1912,Gold,USA,United States,Ralph CRAIG,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Silver,USA,United States,I. Alvah MEYER,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Bronze,USA,United States,Donald LIPPINCOTT,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Gold,USA,United States,Ralph CRAIG,1912 Stockholm,Athletics,Men's,200m
Summer,1912,Silver,USA,United States,Donald LIPPINCOTT,1912 Stockholm,Athletics,Men's,200m
Summer,1912,Gold,USA,United States,Charles Decker REIDPATH,1912 Stockholm,Athletics,Men's,400m
Summer,1912,Bronze,USA,United States,Edward F. LINDBERG,1912 Stockholm,Athletics,Men's,400m
Summer,1912,Gold,USA,United States,James Edwin MEREDITH,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Silver,USA,United States,Melvin SHEPPARD,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Bronze,USA,United States,Ira Nelson DAVENPORT,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Silver,USA,United States,Abel KIVIAT,1912 Stockholm,Athletics,Men's,1500m
Summer,1912,Bronze,USA,United States,Norman TABER,1912 Stockholm,Athletics,Men's,1500m
Summer,1912,Silver,USA,United States,Lewis TEWANINA,1912 Stockholm,Athletics,Men's,10000m
Summer,1912,Bronze,USA,United States,Gaston STROBINO,1912 Stockholm,Athletics,Men's,marathon
Summer,1912,Gold,USA,United States,Frederick KELLY,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Silver,USA,United States,James WENDELL,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Bronze,USA,United States,Martin HAWKINS,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Gold,USA,United States,"Melvin SHEPPARD, James Edwin MEREDITH, Edward F. LINDBERG, Charles Decker REIDPATH",1912 Stockholm,Athletics,Men's,4x400m relay
Summer,1912,Gold,USA,United States,"Abel KIVIAT, Tell Schirnding BERNA, George V. BONHAG, Henry Louis SCOTT, Norman TABER",1912 Stockholm,Athletics,Men's,3000m team
Summer,1912,Gold,USA,United States,Albert Lovejoy GUTTERSON,1912 Stockholm,Athletics,Men's,long jump
Summer,1912,Silver,USA,United States,Platt ADAMS,1912 Stockholm,Athletics,Men's,long jump
Summer,1912,Bronze,USA,United States,Benjamin W. ADAMS,1912 Stockholm,Athletics,Men's,long jump
Summer,1912,Gold,USA,United States,Alma Wilfred RICHARDS,1912 Stockholm,Athletics,Men's,high jump
Summer,1912,Bronze,USA,United States,George Leslie HORINE,1912 Stockholm,Athletics,Men's,high jump
Summer,1912,Gold,USA,United States,Platt ADAMS,1912 Stockholm,Athletics,Men's,high jump
Summer,1912,Silver,USA,United States,Benjamin W. ADAMS,1912 Stockholm,Athletics,Men's,high jump
Summer,1912,Gold,USA,United States,Harry Stoddard BABCOCK,1912 Stockholm,Athletics,Men's,pole vault
Summer,1912,Silver,USA,United States,Frank Thayer NELSON,1912 Stockholm,Athletics,Men's,pole vault
Summer,1912,Silver,USA,United States,Marc Snowell WRIGHT,1912 Stockholm,Athletics,Men's,pole vault
Summer,1912,Bronze,USA,United States,Frank Dwyer MURPHY,1912 Stockholm,Athletics,Men's,pole vault
Summer,1912,Silver,USA,United States,Richard Leslie BYRD,1912 Stockholm,Athletics,Men's,discus throw
Summer,1912,Bronze,USA,United States,James Henry DUNCAN,1912 Stockholm,Athletics,Men's,discus throw
Summer,1912,Gold,USA,United States,Matthew J. MCGRATH,1912 Stockholm,Athletics,Men's,hammer throw
Summer,1912,Bronze,USA,United States,Clarence Chester CHILDS,1912 Stockholm,Athletics,Men's,hammer throw
Summer,1912,Gold,USA,United States,Patrick MCDONALD,1912 Stockholm,Athletics,Men's,shot put
Summer,1912,Silver,USA,United States,Ralph ROSE,1912 Stockholm,Athletics,Men's,shot put
Summer,1912,Bronze,USA,United States,Laurence Atwood WHITNEY,1912 Stockholm,Athletics,Men's,shot put
Summer,1912,Gold,USA,United States,Ralph ROSE,1912 Stockholm,Athletics,Men's,"shot put, both hands"
Summer,1912,Silver,USA,United States,Patrick MCDONALD,1912 Stockholm,Athletics,Men's,"shot put, both hands"
Summer,1912,Gold,USA,United States,Jim THORPE,1912 Stockholm,Athletics,Men's,pentathlon
Summer,1912,Silver,USA,United States,James Joseph DONAHUE,1912 Stockholm,Athletics,Men's,pentathlon
Summer,1912,Gold,USA,United States,Jim THORPE,1912 Stockholm,Athletics,Men's,decathlon
Summer,1920,Gold,USA,United States,Charles PADDOCK,1920 Antwerp,Athletics,Men's,100m
Summer,1920,Silver,USA,United States,Morris KIRKSEY,1920 Antwerp,Athletics,Men's,100m
Summer,1920,Gold,USA,United States,Allen WOODRING,1920 Antwerp,Athletics,Men's,200m
Summer,1920,Silver,USA,United States,Charles PADDOCK,1920 Antwerp,Athletics,Men's,200m
Summer,1920,Silver,USA,United States,Earl EBY,1920 Antwerp,Athletics,Men's,800m
Summer,1920,Bronze,USA,United States,Marion Lawrence SHIELDS,1920 Antwerp,Athletics,Men's,1500m
Summer,1920,Silver,USA,United States,Harold BARRON,1920 Antwerp,Athletics,Men's,110m hurdles
Summer,1920,Bronze,USA,United States,Frederick MURRAY,1920 Antwerp,Athletics,Men's,110m hurdles
Summer,1920,Gold,USA,United States,Frank LOOMIS,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Silver,USA,United States,John Kelley NORTON,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Bronze,USA,United States,August George DESCH,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Silver,USA,United States,Patrick FLYNN,1920 Antwerp,Athletics,Men's,3000m steeplechase
Summer,1920,Gold,USA,United States,"Charles PADDOCK, Loren MURCHISON, Jackson SCHOLZ, Morris KIRKSEY",1920 Antwerp,Athletics,Men's,4x100m relay
Summer,1920,Gold,USA,United States,"Horace Hallock BROWN, Ivan DRESSER, Arlie Alfred SCHARDT",1920 Antwerp,Athletics,Men's,3000m team
Summer,1920,Bronze,USA,United States,Richard Frederick REMER,1920 Antwerp,Athletics,Men's,3000m walk
Summer,1920,Silver,USA,United States,Joseph PEARMAN,1920 Antwerp,Athletics,Men's,10000m walk
Summer,1920,Silver,USA,United States,Carl JOHNSON,1920 Antwerp,Athletics,Men's,long jump
Summer,1920,Gold,USA,United States,Richmond LANDON,1920 Antwerp,Athletics,Men's,high jump
Summer,1920,Silver,USA,United States,Harold MULLER,1920 Antwerp,Athletics,Men's,high jump
Summer,1920,Gold,USA,United States,Frank FOSS,1920 Antwerp,Athletics,Men's,pole vault
Summer,1920,Bronze,USA,United States,Edwin MYERS,1920 Antwerp,Athletics,Men's,pole vault
Summer,1920,Bronze,USA,United States,Harry LIVERSEDGE,1920 Antwerp,Athletics,Men's,shot put
Summer,1920,Bronze,USA,United States,Augustus POPE,1920 Antwerp,Athletics,Men's,discus throw
Summer,1920,Gold,USA,United States,Patrick RYAN,1920 Antwerp,Athletics,Men's,hammer throw
Summer,1920,Bronze,USA,United States,Basil BENNET,1920 Antwerp,Athletics,Men's,hammer throw
Summer,1920,Gold,USA,United States,Patrick MCDONALD,1920 Antwerp,Athletics,Men's,56lb weight throw (25.4kg)
Summer,1920,Silver,USA,United States,Patrick RYAN,1920 Antwerp,Athletics,Men's,56lb weight throw (25.4kg)
Summer,1920,Silver,USA,United States,Everett Lewis BRADLEY,1920 Antwerp,Athletics,Men's,pentathlon
Summer,1920,Silver,USA,United States,Brutus Kerr HAMILTON,1920 Antwerp,Athletics,Men's,decathlon
Summer,1924,Silver,USA,United States,Jackson SCHOLZ,1924 Paris,Athletics,Men's,100m
Summer,1924,Gold,USA,United States,Jackson SCHOLZ,1924 Paris,Athletics,Men's,200m
Summer,1924,Silver,USA,United States,Charles PADDOCK,1924 Paris,Athletics,Men's,200m
Summer,1924,Silver,USA,United States,Horatio FITCH,1924 Paris,Athletics,Men's,400m
Summer,1924,Bronze,USA,United States,Schuyler ENCK,1924 Paris,Athletics,Men's,800m
Summer,1924,Bronze,USA,United States,Clarence DEMAR,1924 Paris,Athletics,Men's,marathon
Summer,1924,Bronze,USA,United States,Richard Earl JOHNSON,1924 Paris,Athletics,Men's,cross country individual
Summer,1924,Silver,USA,United States,"Verne Hobson BOOTH, Richard Earl JOHNSON, John GRAY, James HENIGAN, August FAGER, Arthur STUDENROTH",1924 Paris,Athletics,Men's,cross country team
Summer,1924,Gold,USA,United States,Daniel KINSEY,1924 Paris,Athletics,Men's,110m hurdles
Summer,1924,Gold,USA,United States,Morgan TAYLOR,1924 Paris,Athletics,Men's,400m hurdles
Summer,1924,Bronze,USA,United States,Ivan RILEY,1924 Paris,Athletics,Men's,400m hurdles
Summer,1924,Gold,USA,United States,"Loren MURCHISON, Al LECONEY, Louis CLARKE, Frank HUSSEY",1924 Paris,Athletics,Men's,4x100m relay
Summer,1924,Gold,USA,United States,"William STEVENSON, Oliver MACDONALD, Commodore COCHRAN, Alan HELFFRICH",1924 Paris,Athletics,Men's,4x400m relay
Summer,1924,Bronze,USA,United States,"Leo LARRIVEE, James CONNOLLY, Willard TIBBETTS, Joseph RAY, Edward KIRBY, William COX",1924 Paris,Athletics,Men's,3000m team
Summer,1924,Gold,USA,United States,William De Hart HUBBARD,1924 Paris,Athletics,Men's,long jump
Summer,1924,Silver,USA,United States,Edward Orval GOURDIN,1924 Paris,Athletics,Men's,long jump
Summer,1924,Gold,USA,United States,Harold OSBORN,1924 Paris,Athletics,Men's,high jump
Summer,1924,Silver,USA,United States,Leroy BROWN,1924 Paris,Athletics,Men's,high jump
Summer,1924,Gold,USA,United States,Lee BARNES,1924 Paris,Athletics,Men's,pole vault
Summer,1924,Silver,USA,United States,Glenn GRAHAM,1924 Paris,Athletics,Men's,pole vault
Summer,1924,Bronze,USA,United States,James BROOKER,1924 Paris,Athletics,Men's,pole vault
Summer,1924,Gold,USA,United States,Bud HOUSER,1924 Paris,Athletics,Men's,shot put
Summer,1924,Silver,USA,United States,Glenn HARTRANFT,1924 Paris,Athletics,Men's,shot put
Summer,1924,Bronze,USA,United States,Ralph HILLS,1924 Paris,Athletics,Men's,shot put
Summer,1924,Gold,USA,United States,Bud HOUSER,1924 Paris,Athletics,Men's,discus throw
Summer,1924,Bronze,USA,United States,Thomas LIEB,1924 Paris,Athletics,Men's,discus throw
Summer,1924,Gold,USA,United States,Fred TOOTELL,1924 Paris,Athletics,Men's,hammer throw
Summer,1924,Silver,USA,United States,Matt MCGRATH,1924 Paris,Athletics,Men's,hammer throw
Summer,1924,Bronze,USA,United States,Eugene OBERST,1924 Paris,Athletics,Men's,javelin throw
Summer,1924,Bronze,USA,United States,Robert Lucien LE GENDRE,1924 Paris,Athletics,Men's,pentathlon
Summer,1924,Gold,USA,United States,Harold OSBORN,1924 Paris,Athletics,Men's,decathlon
Summer,1924,Silver,USA,United States,Emerson NORTON,1924 Paris,Athletics,Men's,decathlon
Summer,1928,Gold,USA,United States,Raymond James BARBUTI,1928 Amsterdam,Athletics,Men's,400m
Summer,1928,Silver,USA,United States,Steve ANDERSON,1928 Amsterdam,Athletics,Men's,110m hurdles
Summer,1928,Bronze,USA,United States,John COLLIER,1928 Amsterdam,Athletics,Men's,110m hurdles
Summer,1928,Silver,USA,United States,Frank CUHEL,1928 Amsterdam,Athletics,Men's,400m hurdles
Summer,1928,Bronze,USA,United States,Morgan TAYLOR,1928 Amsterdam,Athletics,Men's,400m hurdles
Summer,1928,Gold,USA,United States,"Charles Edward BORAH, Frank WYKOFF, James QUINN, Henry RUSSELL",1928 Amsterdam,Athletics,Men's,4x100m relay
Summer,1928,Gold,USA,United States,"Raymond James BARBUTI, George BAIRD, Emerson SPENCER, Fred ALDERMAN",1928 Amsterdam,Athletics,Men's,4x400m relay
Summer,1928,Gold,USA,United States,Edward Barton HAMM,1928 Amsterdam,Athletics,Men's,long jump
Summer,1928,Bronze,USA,United States,Al BATES,1928 Amsterdam,Athletics,Men's,long jump
Summer,1928,Silver,USA,United States,Levi CASEY,1928 Amsterdam,Athletics,Men's,triple jump
